SRR6974503	Texanus_22_23.2008.1020
SRR6903712	Texanus_22_23.2008.1024
SRR6903719	Texanus_22_23.2008.1028
SRR6903718	Texanus_22_23.2008.106
SRR6903717	Texanus_22_23.2008.110
SRR6974502	Texanus_22_23.2008.110
SRR6903716	Texanus_22_23.2008.114
SRR6903722	Texanus_22_23.2008.720
SRR6974505	Texanus_22_23.2008.720
SRR6903723	Texanus_22_23.2008.724
SRR6903720	Texanus_22_23.2008.728
SRR6903721	Texanus_22_23.2008.732
SRR6903726	Texanus_22_23.2008.736
SRR6903727	Texanus_22_23.2008.744
SRR6903724	Texanus_22_23.2008.752
SRR6903725	Texanus_22_23.2008.756
SRR6903714	Texanus_22_23.2008.936
SRR6903715	Texanus_22_23.2008.940
SRR6974489	Texanus_22_23.2008.940
SRR6903667	Texanus_22_23.2008.944
SRR6903666	Texanus_22_23.2008.948
SRR6903669	Texanus_22_23.2008.952
SRR6903668	Texanus_22_23.2008.956
SRR6903671	Texanus_22_23.2008.960
SRR6974490	Texanus_22_23.2008.960
SRR6903670	Texanus_22_23.2008.964
SRR6903503	Texanus_22_23.2008.968
SRR6903673	Texanus_22_23.2008.972
SRR6903672	Texanus_22_23.2008.976
SRR6903664	Texanus_22_23.2008.980
SRR6974487	Texanus_22_23.2008.980
SRR6903660	Texanus_22_23.2008.988
SRR6903661	Texanus_22_23.2008.992
SRR6903662	Texanus_22_23.2008.996
SRR6903663	Texanus_22_23.2009.002
SRR6903656	Texanus_22_23.2009.003
SRR6903658	Texanus_22_23.2009.006
SRR6903659	Texanus_22_23.2009.007
SRR6903652	Texanus_22_23.2009.008
SRR6903653	Texanus_22_23.2009.010
SRR6974488	Texanus_22_23.2009.010
SRR6903878	Texanus_22_23.2009.011
SRR6903877	Texanus_22_23.2009.012
SRR6903741	Texanus_22_23.2009.015
SRR6903740	Texanus_22_23.2009.016
SRR6903882	Texanus_22_23.2009.018
SRR6903881	Texanus_22_23.2009.019
SRR6903880	Texanus_22_23.2009.020
SRR6974493	Texanus_22_23.2009.020
SRR6903879	Texanus_22_23.2009.022
SRR6903728	Texanus_22_23.2009.024
SRR6903829	Texanus_22_23.2009.026
SRR6903828	Texanus_22_23.2009.030
SRR6974494	Texanus_22_23.2009.030
SRR6903825	Texanus_22_23.2009.031
SRR6903826	Texanus_22_23.2009.032
SRR6903823	Texanus_22_23.2009.035
SRR6903824	Texanus_22_23.2009.036
SRR6903831	Texanus_22_23.2009.038
SRR6903832	Texanus_22_23.2009.039
SRR6903595	Texanus_22_23.2009.040
SRR6974491	Texanus_22_23.2009.040
SRR6903594	Texanus_22_23.2009.042
SRR6903597	Texanus_22_23.2009.043
SRR6903596	Texanus_22_23.2009.044
SRR6903591	Texanus_22_23.2009.046
SRR6903590	Texanus_22_23.2009.047
SRR6903593	Texanus_22_23.2009.048
SRR6903592	Texanus_22_23.2009.049
SRR6903575	Texanus_22_23.2009.201
SRR6903938	Texanus_22_23.2009.203
SRR6903929	Texanus_22_23.2009.204
SRR6903930	Texanus_22_23.2009.205
SRR6903931	Texanus_22_23.2009.207
SRR6903932	Texanus_22_23.2009.208
SRR6903933	Texanus_22_23.2009.209
SRR6903934	Texanus_22_23.2009.210
SRR6974492	Texanus_22_23.2009.210
SRR6903935	Texanus_22_23.2009.211
SRR6903936	Texanus_22_23.2009.214
SRR6903921	Texanus_22_23.2009.216
SRR6903922	Texanus_22_23.2009.231
SRR6903699	Texanus_22_23.2009.234
SRR6903698	Texanus_22_23.2009.239
SRR6903697	Texanus_22_23.2009.246
SRR6903696	Texanus_22_23.2009.252
SRR6903695	Texanus_22_23.2009.253
SRR6903694	Texanus_22_23.2009.254
SRR6903693	Texanus_22_23.2009.270
SRR6974495	Texanus_22_23.2009.270
SRR6903692	Texanus_22_23.2009.274
SRR6903701	Texanus_22_23.2009.282
SRR6903700	Texanus_22_23.2009.284
SRR6903620	Texanus_22_23.2009.293
SRR6903619	Texanus_22_23.2009.602
SRR6903622	Texanus_22_23.2009.604
SRR6903621	Texanus_22_23.2009.606
SRR6903624	Texanus_22_23.2009.608
SRR6903623	Texanus_22_23.2009.610
SRR6974496	Texanus_22_23.2009.610
SRR6903626	Texanus_22_23.2009.612
SRR6903625	Texanus_22_23.2009.614
SRR6903617	Texanus_22_23.2009.616
SRR6903616	Texanus_22_23.2009.618
SRR6903837	Texanus_22_23.2009.620
SRR6974475	Texanus_22_23.2009.620
SRR6903838	Texanus_22_23.2009.622
SRR6903835	Texanus_22_23.2009.624
SRR6903836	Texanus_22_23.2009.626
SRR6903841	Texanus_22_23.2009.628
SRR6903842	Texanus_22_23.2009.630
SRR6974474	Texanus_22_23.2009.630
SRR6903839	Texanus_22_23.2009.632
SRR6903840	Texanus_22_23.2009.634
SRR6903833	Texanus_22_23.2009.636
SRR6903834	Texanus_22_23.2009.638
SRR6903898	Texanus_22_23.2009.642
